AZ,ITD150,ITD400,ITD600,ITD1000,sdITD150,sdITD400,sdITD600,sdITD1000,,ITD,2sdITD150,2sdITD400,2sdITD600,2sdITD1000
62,654.9390253,713.0844084,654.6801407,635.1646,194.7292747,93.64683023,58.24613314,66.20505972,,-180,84.81214866,41.3493951,26.36569437,56.61697289
63,665.3616518,718.0904153,662.0737448,642.6954311,196.1190435,93.96598553,58.98340918,66.29800551,,-175,84.00670744,40.25208036,26.02856291,55.81938311
64,675.1545049,722.9320785,669.0853874,649.7956147,197.4832901,94.2497185,59.71199107,66.30419697,,-170,83.19759434,39.15752178,25.66705481,54.94925101
65,684.189798,727.6596417,675.6660378,656.4121824,198.8294176,94.49996603,60.42713353,66.21649111,,-165,82.3839083,38.07227021,25.2829732,54.00631699
66,692.3708799,732.3156843,681.7801708,662.5069557,200.1637142,94.71869273,61.12508426,66.03005812,,-160,81.56715353,37.00267745,24.87851418,52.99077012
67,699.7256386,736.9121278,687.4462825,668.1009168,201.4880089,94.90797411,61.80606263,65.74932087,,-155,80.74941424,35.95439834,24.45577999,51.90739467
68,706.3130972,741.4532293,692.6963744,673.2298381,202.8030163,95.06991342,62.47128095,65.38101535,,-150,79.93307555,34.93183912,24.01680024,50.76643903
69,712.1922788,745.9432459,697.5624481,677.9294918,204.1094507,95.20661389,63.12195154,64.93187761,,-145,79.12080944,33.93885367,23.56356124,49.57831476
70,717.4222065,750.3864347,702.076505,682.2356503,205.4080266,95.32017876,63.75928671,64.40864364,,-140,78.31531168,32.97584541,23.09790048,48.35301775
71,722.0619034,754.7870527,706.2705466,686.1840857,206.6994583,95.41271126,64.38449876,63.81804949,,-135,77.51931665,32.04153138,22.62162213,47.10044874
72,726.1703925,759.149357,710.1765746,689.8105705,207.9844603,95.48631463,64.99880001,63.16683115,,-130,76.7355656,31.13471244,22.13653039,45.83033201
73,729.8066969,763.4776046,713.8265904,693.1508769,209.2637469,95.54309211,65.60340277,62.46172466,,-125,75.96679279,30.25444021,21.64442958,44.55235918
74,733.0298398,767.7760528,717.2525955,696.2407772,210.5380327,95.58514693,66.19951935,61.70946603,,-120,75.21572423,29.39981081,21.14713398,43.27694138
75,735.8988442,772.0489585,720.4865916,699.1160437,211.808032,95.61458233,66.78836207,60.91679129,,-115,74.48479756,28.57006594,20.64650641,42.01513344
